from ,to,"
relationship",tour ,stops 
brma,maro,2,2,8
riha,gwst,2,1,1
riha,thpu,2,2,20
riha,kawe,2,2,61
jubi,tasw,2,2,3
tasw,rafl,2,2,8
tasw,gest,2,1,20
tasw,Brpa,2,2,30
tasw,timc,2,1,6
tasw,fahi,2,1,6
tasw,keur,2,NA,NA
laga,neki,2,2,26
laga,thpu,2,2,32
laga,tath,2,1,2
cold,embr,1,1,0
argr,jubi,2,2,3
pibu,enig,2,1,NA
pibu,brsp,2,2,13
kape,nodo,2,1,1
